Wavelength,Intensity
364.54181210327897,657
364.97293823223123,668
365.40405753246409,673
365.83516999828055,667
366.26627562398357,672
366.69737440387615,664
367.12846633226161,673
367.55955140344372,661
367.99062961172712,675
368.42170095141518,678
368.852765416813,672
369.28382300222535,656
369.71487370195695,661
370.14591751031389,675
370.57695442160144,667
371.00798443012582,680
371.43900753019284,679
371.87002371610936,675
372.30103298218205,681
372.73203532271816,673
373.16303073202516,677
373.59401920441036,675
374.025000734182,688
374.45597531564812,667
374.88694294311716,674
375.31790361089838,673
375.74885731330039,683
376.17980404463276,688
376.610743799205,685
377.04167657132712,675
377.47260235530973,679
377.90352114546289,675
378.33443293609719,679
378.76533772152425,665
379.19623549605541,681
379.62712625400189,685
380.05800998967612,675
380.48888669739011,662
380.91975637145651,672
381.35061900618791,675
381.78147459589792,699
382.21232313489952,680
382.64316461750622,683
383.07399903803275,677
383.50482639079257,672
383.93564667010088,675
384.36645987027214,688
384.79726598562195,672
385.22806501046523,673
385.65885693911804,679
386.0896417658962,681
386.52041948511646,688
386.95119009109527,691
387.38195357814942,673
387.81270994059611,683
388.24345917275315,685
388.67420126893796,680
389.10493622346888,677
389.53566403066429,683
389.966384684843,673
390.39709818032378,673
390.82780451142628,688
391.25850367246994,672
391.68919565777435,689
392.11988046165993,679
392.55055807844758,688
392.98122850245755,697
393.41189172801126,681
393.84254774942991,688
394.27319656103521,688
394.70383815714939,683
395.13447253209455,691
395.56509968019333,688
395.99571959576866,679
396.42633227314394,695
396.85693770664244,677
397.28753589058789,683
397.71812681930493,699
398.14871048711751,695
398.57928688835051,688
399.0098560173289,697
399.44041786837823,681
399.87097243582423,688
400.30151971399238,680
400.73205969720937,674
401.16259237980159,688
401.59311775609609,697
402.02363582041988,680
402.45414656710057,704
402.88464999046596,688
403.31514608484406,684
403.7456348445636,707
404.17611626395291,697
404.60659033734117,692
405.03705705905816,697
405.46751642343281,693
405.89796842479564,683
406.328413057477,699
406.75885031580708,693
407.1892801941172,689
407.61970268673826,689
408.05011778800196,675
408.48052549224025,699
408.91092579378488,699
409.341318686969,683
409.77170416612495,699
410.20208222558608,707
410.63245285968554,704
411.06281606275741,704
411.49317182913558,684
411.92352015315424,707
412.3538610291485,710
412.78419445145323,699
413.21452041440352,704
413.64483891233562,704
414.07514993958472,704
414.50545349048741,705
414.93574955938067,713
415.36603814060084,704
415.79631922848586,720
416.2265928173727,699
416.65685890159955,713
417.08711747550439,710
417.51736853342567,720
417.94761206970287,712
418.37784807867467,717
418.80807655468055,704
419.23829749206055,720
419.66851088515466,715
420.09871672830343,711
420.52891501584776,699
420.95910574212843,715
421.38928890148696,733
421.8194644882654,743
422.249632496806,722
422.6797929214506,715
423.109945756542,744
423.54009099642377,730
423.97022863543896,726
424.40035866793147,737
424.83048108824511,712
425.26059589072446,749
425.69070306971435,731
426.12080261955936,726
426.55089453460545,763
426.98097880919772,764
427.41105543768276,737
427.84112441440647,753
428.27118573371592,747
428.70123938995789,753
429.1312853774798,761
429.56132369062948,745
429.99135432375476,755
430.421377271204,771
430.85139252732591,754
431.28140008646955,761
431.71139994298409,742
432.14139209121987,763
432.57137652552586,768
433.00135324025342,755
433.43132222975237,736
433.86128348837445,755
434.29123701047052,758
434.72118279039279,755
435.15112082249289,768
435.58105110112342,739
436.01097362063672,763
436.44088837538624,763
436.87079535972509,739
437.30069456800732,741
437.73058599458648,761
438.16046963381763,752
438.59034548005496,761
439.02021352765388,755
439.45007377096982,737
439.87992620435813,770
440.30977082217538,759
440.73960761877788,745
441.16943658852233,787
441.59925772576588,757
442.02907102486608,749
442.45887648018072,761
442.88867408606791,752
443.31846383688628,768
443.74824572699464,769
444.17801975075184,763
444.60778590251812,763
445.03754417665283,761
445.46729456751609,761
445.89703706946892,771
446.32677167687189,763
446.75649838408663,763
447.18621718547462,752
447.61592807539739,760
448.04563104821784,769
448.47532609829824,784
448.905013220002,760
449.33469240769188,784
449.7643636557321,775
450.19402695848663,766
450.62368231031974,749
451.05332970559613,762
451.48296913868109,761
451.91260060394,760
452.34222409573869,736
452.77183960844332,768
453.20144713642026,759
453.63104667403678,752
454.06063821565959,760
454.49022175565665,764
454.91979728839561,752
455.349364808245,755
455.7789243095732,752
456.20847578674943,753
456.63801923414275,757
457.0675546461232,759
457.49708201706062,752
457.92660134132564,771
458.35611261328864,768
458.78561582732107,743
459.21511097779444,755
459.64459805908041,763
460.07407706555131,761
460.50354799157941,761
460.93301083153813,773
461.36246557980047,787
461.79191223073997,763
462.2213507787306,769
462.65078121814707,792
463.08020354336384,781
463.50961774875594,779
463.93902382869891,805
464.36842177756864,769
464.79781158974112,797
465.22719325959287,800
465.65656678150123,800
466.08593214984268,811
466.5152893589954,803
466.94463840333731,807
467.37397927724635,827
467.80331197510185,827
