Wavelength,Intensity
364.54181210327897,648
364.97293823223123,671
365.40405753246409,673
365.83516999828055,683
366.26627562398357,683
366.69737440387615,688
367.12846633226161,673
367.55955140344372,684
367.99062961172712,673
368.42170095141518,680
368.852765416813,683
369.28382300222535,701
369.71487370195695,688
370.14591751031389,691
370.57695442160144,691
371.00798443012582,688
371.43900753019284,693
371.87002371610936,695
372.30103298218205,691
372.73203532271816,700
373.16303073202516,683
373.59401920441036,688
374.025000734182,688
374.45597531564812,691
374.88694294311716,682
375.31790361089838,688
375.74885731330039,688
376.17980404463276,704
376.610743799205,688
377.04167657132712,682
377.47260235530973,688
377.90352114546289,683
378.33443293609719,704
378.76533772152425,688
379.19623549605541,681
379.62712625400189,689
380.05800998967612,695
380.48888669739011,682
380.91975637145651,695
381.35061900618791,679
381.78147459589792,688
382.21232313489952,711
382.64316461750622,694
383.07399903803275,705
383.50482639079257,696
383.93564667010088,683
384.36645987027214,705
384.79726598562195,683
385.22806501046523,691
385.65885693911804,697
386.0896417658962,707
386.52041948511646,704
386.95119009109527,715
387.38195357814942,694
387.81270994059611,691
388.24345917275315,712
388.67420126893796,697
389.10493622346888,704
389.53566403066429,711
389.966384684843,711
390.39709818032378,715
390.82780451142628,723
391.25850367246994,705
391.68919565777435,712
392.11988046165993,714
392.55055807844758,717
392.98122850245755,727
393.41189172801126,738
393.84254774942991,729
394.27319656103521,736
394.70383815714939,731
395.13447253209455,728
395.56509968019333,745
395.99571959576866,736
396.42633227314394,737
396.85693770664244,747
397.28753589058789,731
397.71812681930493,731
398.14871048711751,743
398.57928688835051,736
399.0098560173289,768
399.44041786837823,750
399.87097243582423,752
400.30151971399238,761
400.73205969720937,755
401.16259237980159,762
401.59311775609609,768
402.02363582041988,776
402.45414656710057,774
402.88464999046596,800
403.31514608484406,771
403.7456348445636,778
404.17611626395291,779
404.60659033734117,778
405.03705705905816,779
405.46751642343281,789
405.89796842479564,787
406.328413057477,800
406.75885031580708,768
407.1892801941172,776
407.61970268673826,800
408.05011778800196,785
408.48052549224025,779
408.91092579378488,800
409.341318686969,806
409.77170416612495,809
410.20208222558608,795
410.63245285968554,794
411.06281606275741,819
411.49317182913558,809
411.92352015315424,821
412.3538610291485,809
412.78419445145323,819
413.21452041440352,821
413.64483891233562,860
414.07514993958472,819
414.50545349048741,819
414.93574955938067,848
415.36603814060084,829
415.79631922848586,841
416.2265928173727,849
416.65685890159955,835
417.08711747550439,848
417.51736853342567,838
417.94761206970287,834
418.37784807867467,840
418.80807655468055,857
419.23829749206055,873
419.66851088515466,880
420.09871672830343,875
420.52891501584776,856
420.95910574212843,877
421.38928890148696,871
421.8194644882654,881
422.249632496806,918
422.6797929214506,877
423.109945756542,892
423.54009099642377,899
423.97022863543896,891
424.40035866793147,896
424.83048108824511,928
425.26059589072446,915
425.69070306971435,938
426.12080261955936,928
426.55089453460545,941
426.98097880919772,939
427.41105543768276,924
427.84112441440647,967
428.27118573371592,947
428.70123938995789,935
429.1312853774798,944
429.56132369062948,955
429.99135432375476,976
430.421377271204,993
430.85139252732591,987
431.28140008646955,953
431.71139994298409,992
432.14139209121987,961
432.57137652552586,950
433.00135324025342,981
433.43132222975237,972
433.86128348837445,970
434.29123701047052,976
434.72118279039279,976
435.15112082249289,961
435.58105110112342,955
436.01097362063672,976
436.44088837538624,1003
436.87079535972509,984
437.30069456800732,981
437.73058599458648,952
438.16046963381763,968
438.59034548005496,960
439.02021352765388,979
439.45007377096982,982
439.87992620435813,965
440.30977082217538,1001
440.73960761877788,968
441.16943658852233,984
441.59925772576588,979
442.02907102486608,962
442.45887648018072,992
442.88867408606791,984
443.31846383688628,1001
443.74824572699464,1011
444.17801975075184,995
444.60778590251812,976
445.03754417665283,1014
445.46729456751609,992
445.89703706946892,1011
446.32677167687189,999
446.75649838408663,992
447.18621718547462,1008
447.61592807539739,1003
448.04563104821784,994
448.47532609829824,987
448.905013220002,1017
449.33469240769188,1024
449.7643636557321,1016
450.19402695848663,977
450.62368231031974,966
451.05332970559613,984
451.48296913868109,978
451.91260060394,962
452.34222409573869,983
452.77183960844332,983
453.20144713642026,995
453.63104667403678,969
454.06063821565959,965
454.49022175565665,971
454.91979728839561,979
455.349364808245,979
455.7789243095732,970
456.20847578674943,957
456.63801923414275,951
457.0675546461232,960
457.49708201706062,961
457.92660134132564,933
458.35611261328864,960
458.78561582732107,960
459.21511097779444,985
459.64459805908041,953
460.07407706555131,960
460.50354799157941,997
460.93301083153813,977
461.36246557980047,987
461.79191223073997,981
462.2213507787306,1025
462.65078121814707,997
463.08020354336384,1049
463.50961774875594,1024
463.93902382869891,1036
464.36842177756864,1016
464.79781158974112,1075
465.22719325959287,1042
465.65656678150123,1074
466.08593214984268,1056
466.5152893589954,1088
466.94463840333731,1095
467.37397927724635,1105
467.80331197510185,1126
468.23263649128239,1121
468.66195282016781,1120
469.09126095613743,1144
469.52056089357194,1129
469.94985262685162,1142
470.37913615035717,1152
470.80841145847023,1131
471.23767854557241,1155
471.66693740604563,1187
472.09618803427225,1158
472.525430424635,1132
472.95466457151696,1157
473.38389046930166,1147
473.8131081123729,1173
474.24231749511512,1147
474.67151861191292,1146
475.10071145715096,1131
475.5298960252149,1168
475.95907231049028,1161
476.38824030736311,1161
476.8174000102199,1168
477.24655141344755,1168
477.67569451143339,1208
478.1048292985646,1147
478.53395576922958,1184
478.96307391781653,1168
479.39218373871387,1186
479.82128522631081,1187
480.25037837499713,1184
480.67946317916221,1195
481.10853963319659,1216
481.53760773149054,1192
481.96666746843516,1216
482.39571883842189,1218
482.82476183584225,1237
483.25379645508838,1267
483.682822690553,1264
484.11184053662868,1281
484.54084998770855,1303
484.9698510381865,1328
485.39884368245657,1355
485.82782791491252,1317
486.25680372994992,1360
486.68577112196317,1379
487.1147300853483,1394
487.543680614501,1411
487.97262270381748,1433
488.4015563476944,1440
488.83048154052904,1453
489.25939827671834,1428
489.68830655066057,1483
490.11720635675385,1481
490.54609768939645,1475
490.97498054298751,1481
491.40385491192654,1520
491.832720790613,1481
492.26157817344705,1506
492.6904270548294,1545
493.11926742916052,1520
493.54809929084217,1553
493.9769226342757,1515
494.40573745386297,1536
494.83454374400696,1590
495.2633414991102,1491
495.69213071357592,1557
496.12091138180756,1521
496.54968349820916,1497
496.97844705718552,1513
497.40720205314079,1493
497.83594848048045,1515
498.26468633361026,1488
498.69341560693562,1493
499.1221362948632,1480
499.55084839179972,1483
499.97955189215259,1437
500.40824679032852,1481
500.83693308073589,1507
501.26561075778289,1465
501.69427981587859,1475
502.12294024943191,1472
502.55159205285173,1504
502.98023522054871,1465
503.40886974693285,1507
503.8374956264143,1481
504.26611285340522,1459
504.694721422316,1499
505.12332132755915,1465
505.55191256354624,1472
505.98049512469083,1515
506.40906900540517,1499
506.83763420010337,1474
507.26619070319873,1515
507.69473850910555,1499
508.12327761223889,1498
508.55180800701339,1459
508.98032968784423,1489
509.40884264914797,1472
509.83734688534048,1464
510.26584239083832,1463
510.69432916005854,1472
511.12280718741891,1468
511.55127646733672,1474
511.97973699423085,1431
512.40818876251944,1389
512.83663176662162,1387
513.26506600095706,1385
513.69349145994545,1387
514.121908138007,1371
514.55031602956262,1337
514.97871512903362,1344
515.40710543084049,1305
515.835486929406,1288
516.26385961915219,1273
516.69222349450172,1267
517.120578549878,1227
517.54892477970361,1248
517.97726217840352,1210
518.405590740402,1223
518.83391046012275,1187
519.26222133199178,1163
519.69052335043432,1141
520.11881650987675,1147
520.54710080474524,1123
520.97537622946652,1152
521.40364277846766,1096
521.831900446176,1088
522.26014922702052,1104
522.68838911542832,1067
523.11662010582961,1072
523.54484219265271,1077
523.97305537032764,1043
524.40125963328421,1047
524.829454975953,1041
525.25764139276544,1043
525.685818878152,1042
526.11398742654467,1035
526.54214703237631,1017
526.97029769007827,1019
527.39843939408468,1040
527.82657213882817,1020
528.25469591874264,1034
528.68281072826278,1011
529.11091656182259,1008
529.53901341385767,1008
529.967101278803,984
530.39518015109479,1008
530.82325002517,1017
531.25131089546369,1008
531.67936275641409,1016
532.107405602459,1027
532.53543942803594,1027
532.96346422758359,1031
533.39147999554029,997
533.81948672634633,1002
534.24748441443978,1011
534.67547305426194,1041
535.10345264025341,1004
535.53142316685421,1051
535.95938462850654,1031
536.38733701965168,1037
536.815280334732,1073
537.24321456819064,1042
537.6711397144694,1056
538.099055768013,1072
538.52696272326455,1047
538.95486057466917,1101
539.38274931667047,1056
539.810628943715,1072
540.23849945024722,1114
540.6663608307133,1105
541.09421307956063,1096
541.522056191235,1143
541.9498901601844,1129
542.37771498085635,1145
542.8055306476989,1139
543.233337155161,1143
543.66113449769148,1195
544.08892266973965,1168
544.516701665755,1153
544.944471480189,1203
545.37223210749153,1195
