Wavelength,Intensity
364.54181210327897,666
364.97293823223123,657
365.40405753246409,667
365.83516999828055,669
366.26627562398357,666
366.69737440387615,681
367.12846633226161,667
367.55955140344372,682
367.99062961172712,675
368.42170095141518,672
368.852765416813,675
369.28382300222535,667
369.71487370195695,683
370.14591751031389,686
370.57695442160144,694
371.00798443012582,691
371.43900753019284,679
371.87002371610936,683
372.30103298218205,680
372.73203532271816,688
373.16303073202516,672
373.59401920441036,677
374.025000734182,685
374.45597531564812,681
374.88694294311716,688
375.31790361089838,681
375.74885731330039,688
376.17980404463276,675
376.610743799205,679
377.04167657132712,678
377.47260235530973,678
377.90352114546289,690
378.33443293609719,689
378.76533772152425,686
379.19623549605541,683
379.62712625400189,685
380.05800998967612,691
380.48888669739011,667
380.91975637145651,688
381.35061900618791,683
381.78147459589792,699
382.21232313489952,689
382.64316461750622,689
383.07399903803275,696
383.50482639079257,688
383.93564667010088,690
384.36645987027214,694
384.79726598562195,713
385.22806501046523,699
385.65885693911804,701
386.0896417658962,699
386.52041948511646,707
386.95119009109527,701
387.38195357814942,701
387.81270994059611,711
388.24345917275315,695
388.67420126893796,707
389.10493622346888,698
389.53566403066429,704
389.966384684843,704
390.39709818032378,729
390.82780451142628,709
391.25850367246994,720
391.68919565777435,723
392.11988046165993,723
392.55055807844758,749
392.98122850245755,713
393.41189172801126,723
393.84254774942991,743
394.27319656103521,741
394.70383815714939,737
395.13447253209455,755
395.56509968019333,747
395.99571959576866,755
396.42633227314394,745
396.85693770664244,753
397.28753589058789,769
397.71812681930493,773
398.14871048711751,760
398.57928688835051,763
399.0098560173289,768
399.44041786837823,765
399.87097243582423,779
400.30151971399238,785
400.73205969720937,776
401.16259237980159,778
401.59311775609609,797
402.02363582041988,779
402.45414656710057,795
402.88464999046596,795
403.31514608484406,793
403.7456348445636,793
404.17611626395291,816
404.60659033734117,807
405.03705705905816,811
405.46751642343281,817
405.89796842479564,832
406.328413057477,832
406.75885031580708,839
407.1892801941172,839
407.61970268673826,824
408.05011778800196,839
408.48052549224025,857
408.91092579378488,832
409.341318686969,836
409.77170416612495,833
410.20208222558608,848
410.63245285968554,864
411.06281606275741,867
411.49317182913558,874
411.92352015315424,865
412.3538610291485,859
412.78419445145323,851
413.21452041440352,875
413.64483891233562,867
414.07514993958472,891
414.50545349048741,856
414.93574955938067,865
415.36603814060084,875
415.79631922848586,872
416.2265928173727,896
416.65685890159955,887
417.08711747550439,889
417.51736853342567,885
417.94761206970287,921
418.37784807867467,905
418.80807655468055,912
419.23829749206055,915
419.66851088515466,913
420.09871672830343,908
420.52891501584776,896
420.95910574212843,928
421.38928890148696,923
421.8194644882654,931
422.249632496806,923
422.6797929214506,919
423.109945756542,949
423.54009099642377,924
423.97022863543896,947
424.40035866793147,966
424.83048108824511,944
425.26059589072446,937
425.69070306971435,919
426.12080261955936,963
426.55089453460545,951
426.98097880919772,961
427.41105543768276,963
427.84112441440647,968
428.27118573371592,983
428.70123938995789,969
429.1312853774798,982
429.56132369062948,978
429.99135432375476,1005
430.421377271204,1004
430.85139252732591,979
431.28140008646955,985
431.71139994298409,993
432.14139209121987,1008
432.57137652552586,1009
433.00135324025342,995
433.43132222975237,1001
433.86128348837445,1011
434.29123701047052,995
434.72118279039279,1003
435.15112082249289,1011
435.58105110112342,1001
436.01097362063672,990
436.44088837538624,995
436.87079535972509,1008
437.30069456800732,1000
437.73058599458648,982
438.16046963381763,971
438.59034548005496,1008
439.02021352765388,987
439.45007377096982,981
439.87992620435813,1019
440.30977082217538,995
440.73960761877788,992
441.16943658852233,995
441.59925772576588,1000
442.02907102486608,1008
442.45887648018072,976
442.88867408606791,1014
443.31846383688628,1010
443.74824572699464,979
444.17801975075184,1013
444.60778590251812,997
445.03754417665283,1011
445.46729456751609,1001
445.89703706946892,1003
446.32677167687189,1017
446.75649838408663,1011
447.18621718547462,1041
447.61592807539739,1035
448.04563104821784,1043
448.47532609829824,1024
448.905013220002,1025
449.33469240769188,1013
449.7643636557321,1014
450.19402695848663,1033
450.62368231031974,1004
451.05332970559613,1016
451.48296913868109,1027
451.91260060394,995
452.34222409573869,992
452.77183960844332,1012
453.20144713642026,965
453.63104667403678,992
454.06063821565959,1011
454.49022175565665,976
454.91979728839561,969
455.349364808245,971
455.7789243095732,979
456.20847578674943,963
456.63801923414275,955
457.0675546461232,944
457.49708201706062,976
457.92660134132564,1013
458.35611261328864,965
458.78561582732107,963
459.21511097779444,999
459.64459805908041,952
460.07407706555131,971
460.50354799157941,999
460.93301083153813,987
461.36246557980047,998
461.79191223073997,952
462.2213507787306,935
462.65078121814707,986
463.08020354336384,1008
463.50961774875594,1001
463.93902382869891,1011
464.36842177756864,1011
464.79781158974112,1014
465.22719325959287,1018
465.65656678150123,992
466.08593214984268,983
466.5152893589954,1040
466.94463840333731,1043
467.37397927724635,1066
467.80331197510185,1027
468.23263649128239,1072
468.66195282016781,1043
469.09126095613743,1024
469.52056089357194,1068
469.94985262685162,1093
470.37913615035717,1065
470.80841145847023,1075
471.23767854557241,1072
471.66693740604563,1048
472.09618803427225,1056
472.525430424635,1075
472.95466457151696,1045
473.38389046930166,1030
473.8131081123729,1072
474.24231749511512,1037
474.67151861191292,1088
475.10071145715096,1067
475.5298960252149,1040
475.95907231049028,1063
476.38824030736311,1046
476.8174000102199,1027
477.24655141344755,1058
477.67569451143339,1016
478.1048292985646,1040
478.53395576922958,1064
478.96307391781653,1027
479.39218373871387,1040
479.82128522631081,1049
480.25037837499713,1042
480.67946317916221,1063
481.10853963319659,1053
481.53760773149054,1073
481.96666746843516,1094
482.39571883842189,1101
482.82476183584225,1064
483.25379645508838,1081
483.682822690553,1113
484.11184053662868,1129
484.54084998770855,1105
484.9698510381865,1115
485.39884368245657,1136
485.82782791491252,1144
486.25680372994992,1139
486.68577112196317,1158
487.1147300853483,1235
487.543680614501,1197
487.97262270381748,1248
488.4015563476944,1224
488.83048154052904,1243
489.25939827671834,1251
489.68830655066057,1248
490.11720635675385,1273
490.54609768939645,1283
490.97498054298751,1291
491.40385491192654,1313
491.832720790613,1301
492.26157817344705,1275
492.6904270548294,1321
493.11926742916052,1265
493.54809929084217,1298
493.9769226342757,1305
494.40573745386297,1280
494.83454374400696,1281
495.2633414991102,1291
495.69213071357592,1264
496.12091138180756,1280
496.54968349820916,1296
496.97844705718552,1272
497.40720205314079,1296
497.83594848048045,1281
498.26468633361026,1268
498.69341560693562,1290
499.1221362948632,1281
499.55084839179972,1240
499.97955189215259,1240
500.40824679032852,1265
500.83693308073589,1270
501.26561075778289,1272
501.69427981587859,1249
502.12294024943191,1252
502.55159205285173,1291
502.98023522054871,1265
503.40886974693285,1267
503.8374956264143,1289
504.26611285340522,1255
504.694721422316,1291
505.12332132755915,1280
505.55191256354624,1272
505.98049512469083,1304
506.40906900540517,1253
506.83763420010337,1308
507.26619070319873,1299
507.69473850910555,1267
508.12327761223889,1299
508.55180800701339,1307
508.98032968784423,1269
509.40884264914797,1280
509.83734688534048,1312
510.26584239083832,1277
510.69432916005854,1303
511.12280718741891,1305
511.55127646733672,1287
511.97973699423085,1269
512.40818876251944,1255
512.83663176662162,1251
513.26506600095706,1236
513.69349145994545,1219
514.121908138007,1241
514.55031602956262,1216
514.97871512903362,1195
515.40710543084049,1200
515.835486929406,1164
516.26385961915219,1117
516.69222349450172,1170
517.120578549878,1126
517.54892477970361,1113
517.97726217840352,1089
518.405590740402,1121
518.83391046012275,1079
519.26222133199178,1061
519.69052335043432,1088
520.11881650987675,1051
520.54710080474524,1065
520.97537622946652,1027
521.40364277846766,1051
521.831900446176,1046
522.26014922702052,1027
522.68838911542832,1049
523.11662010582961,1067
523.54484219265271,1024
523.97305537032764,1011
524.40125963328421,1019
524.829454975953,1015
525.25764139276544,997
525.685818878152,992
526.11398742654467,1017
526.54214703237631,1013
526.97029769007827,992
527.39843939408468,985
527.82657213882817,992
528.25469591874264,979
528.68281072826278,987
529.11091656182259,1011
529.53901341385767,997
529.967101278803,1021
530.39518015109479,1004
530.82325002517,987
531.25131089546369,1001
531.67936275641409,999
532.107405602459,1030
532.53543942803594,995
532.96346422758359,982
533.39147999554029,1024
533.81948672634633,1008
534.24748441443978,993
534.67547305426194,1018
535.10345264025341,1008
535.53142316685421,1000
535.95938462850654,1011
536.38733701965168,1032
536.815280334732,1041
537.24321456819064,1059
537.6711397144694,1051
538.099055768013,1051
538.52696272326455,1056
538.95486057466917,1067
539.38274931667047,1081
539.810628943715,1078
540.23849945024722,1088
540.6663608307133,1115
541.09421307956063,1128
541.522056191235,1059
541.9498901601844,1136
542.37771498085635,1171
542.8055306476989,1152
543.233337155161,1179
543.66113449769148,1181
544.08892266973965,1201
544.516701665755,1225
544.944471480189,1193
545.37223210749153,1216
545.799983542114,1193
546.2277257785081,1213
546.65545881112553,1216
547.08318263441936,1264
547.510897242842,1223
547.938602630847,1280
548.36629879288819,1237
548.79398572341938,1237
549.22166341689581,1262
549.64933186777182,1224
550.076991070504,1244
550.50464101954674,1239
550.93228170935777,1206
551.35991313439365,1228
551.78753528911125,1232
552.21514816796844,1221
552.64275176542333,1168
553.07034607593437,1195
553.49793109396046,1195
553.92550681396165,1179
554.35307323039717,1187
554.7806303377273,1200
555.20817813041356,1171
555.63571660291632,1136
556.06324574969778,1159
556.49076556521948,1144
556.91827604394416,1137
557.345777180335,1120
557.77326896885506,1148
558.2007514039683,1088
558.62822448013867,1094
559.05568819183168,1115
559.4831425335118,1072
559.91058749964486,1091
560.33802308469717,1089
560.76544928313433,1088
561.19286608942411,1093
561.62027349803373,1078
562.04767150343082,1099
562.47506010008408,1102
562.90243928246127,1041
563.32980904503245,1059
563.75716938226685,1075
564.1845202886351,1051
564.61186175860655,1043
565.03919378665262,1027
565.4665163672455,1057
565.89382949485594,1068
566.32113316395669,1047
566.74842736902031,1046
567.17571210452047,1040
567.60298736493007,1072
568.030253144724,1067
568.45750943837618,1056
568.88475624036153,1024
569.3119935451557,1031
569.739221347235,1048
570.16643964107493,1083
570.59364842115247,1065
571.02084768194584,1056
571.44803741793146,1045
571.87521762358767,1080
572.30238829339407,1056
572.72954942182821,1077
573.15670100337093,1072
573.58384303250114,1078
574.01097550369991,1080
574.43809841144821,1064
574.86521175022676,1080
575.29231551451755,1090
575.71940969880336,1081
576.146494297566,1072
576.57356930528886,1109
577.000634716456,1091
577.42769052555138,1089
577.85473672705871,1105
578.28177331546385,1096
578.70880028525232,1144
579.1358176309094,1128
579.5628253469215,1161
579.98982342777583,1143
580.41681186795893,1136
580.84379066195959,1128
581.27075980426525,1133
581.6977192893645,1161
582.12466911174715,1189
582.55160926590167,1128
582.97853974631926,1179
583.40546054748984,1178
583.83237166390438,1205
584.25927309005408,1211
584.68616482043137,1205
585.11304684952825,1235
585.53991917183748,1197
585.96678178185243,1232
586.39363467406667,1224
586.82047784297515,1235
587.24731128307178,1232
587.67413498885162,1255
588.1009489548112,1260
588.52775317544535,1240
588.95454764525084,1232
589.3813323587259,1248
589.808107310367,1235
590.23487249467178,1269
590.66162790613885,1248
591.08837353926788,1227
591.51510938855756,1227
591.9418354485075,1223
592.36855171361844,1229
592.79525817839112,1248
