Wavelength,Intensity
364.54181210327897,677
364.97293823223123,672
365.40405753246409,668
365.83516999828055,674
366.26627562398357,673
366.69737440387615,672
367.12846633226161,683
367.55955140344372,677
367.99062961172712,683
368.42170095141518,675
368.852765416813,682
369.28382300222535,696
369.71487370195695,672
370.14591751031389,679
370.57695442160144,688
371.00798443012582,688
371.43900753019284,699
371.87002371610936,679
372.30103298218205,691
372.73203532271816,690
373.16303073202516,688
373.59401920441036,675
374.025000734182,688
374.45597531564812,695
374.88694294311716,688
375.31790361089838,672
375.74885731330039,688
376.17980404463276,679
376.610743799205,688
377.04167657132712,691
377.47260235530973,699
377.90352114546289,688
378.33443293609719,688
378.76533772152425,689
379.19623549605541,679
379.62712625400189,683
380.05800998967612,688
380.48888669739011,688
380.91975637145651,667
381.35061900618791,695
381.78147459589792,678
382.21232313489952,695
382.64316461750622,689
383.07399903803275,691
383.50482639079257,690
383.93564667010088,677
384.36645987027214,688
384.79726598562195,697
385.22806501046523,691
385.65885693911804,696
386.0896417658962,691
386.52041948511646,683
386.95119009109527,688
387.38195357814942,688
387.81270994059611,688
388.24345917275315,688
388.67420126893796,691
389.10493622346888,699
389.53566403066429,699
389.966384684843,695
390.39709818032378,684
390.82780451142628,704
391.25850367246994,677
391.68919565777435,697
392.11988046165993,693
392.55055807844758,691
392.98122850245755,704
393.41189172801126,695
393.84254774942991,705
394.27319656103521,712
394.70383815714939,709
395.13447253209455,698
395.56509968019333,697
395.99571959576866,704
396.42633227314394,707
396.85693770664244,705
397.28753589058789,709
397.71812681930493,704
398.14871048711751,707
398.57928688835051,714
399.0098560173289,696
399.44041786837823,704
399.87097243582423,711
400.30151971399238,707
400.73205969720937,711
401.16259237980159,707
401.59311775609609,704
402.02363582041988,715
402.45414656710057,709
402.88464999046596,720
403.31514608484406,713
403.7456348445636,712
404.17611626395291,723
404.60659033734117,713
405.03705705905816,720
405.46751642343281,720
405.89796842479564,707
406.328413057477,709
406.75885031580708,722
407.1892801941172,736
407.61970268673826,720
408.05011778800196,711
408.48052549224025,725
408.91092579378488,722
409.341318686969,707
409.77170416612495,734
410.20208222558608,736
410.63245285968554,737
411.06281606275741,750
411.49317182913558,710
411.92352015315424,725
412.3538610291485,726
412.78419445145323,725
413.21452041440352,726
413.64483891233562,739
414.07514993958472,739
414.50545349048741,731
414.93574955938067,745
415.36603814060084,726
415.79631922848586,742
416.2265928173727,739
416.65685890159955,752
417.08711747550439,727
417.51736853342567,762
417.94761206970287,769
418.37784807867467,755
418.80807655468055,760
419.23829749206055,760
419.66851088515466,768
420.09871672830343,768
420.52891501584776,756
420.95910574212843,768
421.38928890148696,757
421.8194644882654,768
422.249632496806,791
422.6797929214506,784
423.109945756542,774
423.54009099642377,784
423.97022863543896,784
424.40035866793147,789
424.83048108824511,786
425.26059589072446,803
425.69070306971435,816
426.12080261955936,812
426.55089453460545,819
426.98097880919772,843
427.41105543768276,819
427.84112441440647,819
428.27118573371592,811
428.70123938995789,825
429.1312853774798,838
429.56132369062948,816
429.99135432375476,819
430.421377271204,835
430.85139252732591,832
431.28140008646955,844
431.71139994298409,851
432.14139209121987,855
432.57137652552586,867
433.00135324025342,848
433.43132222975237,872
433.86128348837445,880
434.29123701047052,881
434.72118279039279,867
435.15112082249289,892
435.58105110112342,880
436.01097362063672,883
436.44088837538624,864
436.87079535972509,887
437.30069456800732,883
437.73058599458648,894
438.16046963381763,880
438.59034548005496,856
439.02021352765388,906
439.45007377096982,892
439.87992620435813,883
440.30977082217538,872
440.73960761877788,915
441.16943658852233,897
441.59925772576588,896
442.02907102486608,889
442.45887648018072,876
442.88867408606791,891
443.31846383688628,897
443.74824572699464,912
444.17801975075184,905
444.60778590251812,897
445.03754417665283,931
445.46729456751609,913
445.89703706946892,935
446.32677167687189,963
446.75649838408663,916
447.18621718547462,955
447.61592807539739,937
448.04563104821784,937
448.47532609829824,963
448.905013220002,962
449.33469240769188,1008
449.7643636557321,1008
450.19402695848663,955
450.62368231031974,997
451.05332970559613,1008
451.48296913868109,984
451.91260060394,1027
452.34222409573869,1003
452.77183960844332,1008
453.20144713642026,1040
453.63104667403678,1043
454.06063821565959,1027
454.49022175565665,1030
454.91979728839561,1045
455.349364808245,1072
455.7789243095732,1033
456.20847578674943,1057
456.63801923414275,1048
457.0675546461232,1080
457.49708201706062,1080
457.92660134132564,1040
458.35611261328864,1040
458.78561582732107,1043
459.21511097779444,1059
459.64459805908041,1017
460.07407706555131,1029
460.50354799157941,1030
460.93301083153813,1040
461.36246557980047,995
461.79191223073997,1000
462.2213507787306,1001
462.65078121814707,969
463.08020354336384,998
463.50961774875594,956
463.93902382869891,961
464.36842177756864,1001
464.79781158974112,955
465.22719325959287,962
465.65656678150123,992
466.08593214984268,960
466.5152893589954,969
466.94463840333731,963
467.37397927724635,971
467.80331197510185,963
468.23263649128239,976
468.66195282016781,963
469.09126095613743,989
469.52056089357194,960
469.94985262685162,961
470.37913615035717,1001
470.80841145847023,999
471.23767854557241,1016
471.66693740604563,1031
472.09618803427225,998
472.525430424635,1011
472.95466457151696,1024
473.38389046930166,1021
473.8131081123729,1033
474.24231749511512,1050
474.67151861191292,1049
475.10071145715096,1088
475.5298960252149,1090
475.95907231049028,1089
476.38824030736311,1096
476.8174000102199,1106
477.24655141344755,1136
477.67569451143339,1137
478.1048292985646,1146
478.53395576922958,1144
478.96307391781653,1159
479.39218373871387,1176
479.82128522631081,1187
480.25037837499713,1160
480.67946317916221,1190
481.10853963319659,1195
481.53760773149054,1171
481.96666746843516,1234
482.39571883842189,1201
482.82476183584225,1225
483.25379645508838,1241
483.682822690553,1238
484.11184053662868,1234
484.54084998770855,1232
484.9698510381865,1261
485.39884368245657,1243
485.82782791491252,1273
486.25680372994992,1272
486.68577112196317,1233
487.1147300853483,1267
487.543680614501,1265
487.97262270381748,1273
488.4015563476944,1264
488.83048154052904,1271
489.25939827671834,1244
489.68830655066057,1287
490.11720635675385,1280
490.54609768939645,1284
490.97498054298751,1280
491.40385491192654,1296
491.832720790613,1296
492.26157817344705,1265
492.6904270548294,1280
493.11926742916052,1307
493.54809929084217,1357
493.9769226342757,1335
494.40573745386297,1315
494.83454374400696,1319
495.2633414991102,1312
495.69213071357592,1332
496.12091138180756,1296
496.54968349820916,1304
496.97844705718552,1360
497.40720205314079,1333
497.83594848048045,1328
498.26468633361026,1321
498.69341560693562,1341
499.1221362948632,1309
499.55084839179972,1299
499.97955189215259,1293
500.40824679032852,1301
500.83693308073589,1283
501.26561075778289,1281
501.69427981587859,1281
502.12294024943191,1273
502.55159205285173,1253
502.98023522054871,1269
503.40886974693285,1232
503.8374956264143,1232
504.26611285340522,1209
504.694721422316,1193
505.12332132755915,1217
505.55191256354624,1168
505.98049512469083,1169
506.40906900540517,1179
506.83763420010337,1169
507.26619070319873,1184
507.69473850910555,1175
508.12327761223889,1200
508.55180800701339,1160
508.98032968784423,1152
509.40884264914797,1117
509.83734688534048,1138
510.26584239083832,1174
510.69432916005854,1120
511.12280718741891,1152
511.55127646733672,1144
511.97973699423085,1120
512.40818876251944,1144
512.83663176662162,1120
513.26506600095706,1133
513.69349145994545,1080
514.121908138007,1104
514.55031602956262,1085
514.97871512903362,1148
515.40710543084049,1147
515.835486929406,1136
516.26385961915219,1179
516.69222349450172,1141
517.120578549878,1147
517.54892477970361,1197
517.97726217840352,1169
518.405590740402,1171
518.83391046012275,1171
519.26222133199178,1208
519.69052335043432,1200
520.11881650987675,1203
520.54710080474524,1259
520.97537622946652,1222
521.40364277846766,1232
521.831900446176,1206
522.26014922702052,1267
522.68838911542832,1264
523.11662010582961,1296
523.54484219265271,1293
523.97305537032764,1297
524.40125963328421,1333
524.829454975953,1324
525.25764139276544,1304
525.685818878152,1320
526.11398742654467,1323
526.54214703237631,1319
526.97029769007827,1363
527.39843939408468,1378
527.82657213882817,1356
528.25469591874264,1397
528.68281072826278,1384
529.11091656182259,1382
529.53901341385767,1408
529.967101278803,1365
530.39518015109479,1382
530.82325002517,1413
531.25131089546369,1372
531.67936275641409,1362
532.107405602459,1383
532.53543942803594,1353
532.96346422758359,1371
533.39147999554029,1350
533.81948672634633,1351
534.24748441443978,1366
534.67547305426194,1319
535.10345264025341,1336
535.53142316685421,1312
535.95938462850654,1299
536.38733701965168,1307
536.815280334732,1336
537.24321456819064,1305
537.6711397144694,1275
538.099055768013,1271
538.52696272326455,1265
538.95486057466917,1265
539.38274931667047,1264
539.810628943715,1264
540.23849945024722,1303
540.6663608307133,1227
541.09421307956063,1232
541.522056191235,1196
541.9498901601844,1233
542.37771498085635,1225
542.8055306476989,1227
543.233337155161,1232
543.66113449769148,1235
544.08892266973965,1205
544.516701665755,1219
544.944471480189,1209
545.37223210749153,1216
545.799983542114,1205
546.2277257785081,1203
546.65545881112553,1192
547.08318263441936,1171
547.510897242842,1173
547.938602630847,1200
548.36629879288819,1185
548.79398572341938,1187
549.22166341689581,1193
549.64933186777182,1172
550.076991070504,1171
550.50464101954674,1184
550.93228170935777,1190
551.35991313439365,1158
551.78753528911125,1163
552.21514816796844,1179
552.64275176542333,1153
553.07034607593437,1147
553.49793109396046,1184
553.92550681396165,1186
554.35307323039717,1184
554.7806303377273,1168
555.20817813041356,1176
555.63571660291632,1169
556.06324574969778,1161
556.49076556521948,1184
556.91827604394416,1217
557.345777180335,1207
557.77326896885506,1222
558.2007514039683,1213
558.62822448013867,1232
559.05568819183168,1227
559.4831425335118,1216
559.91058749964486,1273
560.33802308469717,1227
560.76544928313433,1267
561.19286608942411,1255
561.62027349803373,1291
562.04767150343082,1275
562.47506010008408,1281
562.90243928246127,1298
563.32980904503245,1296
563.75716938226685,1283
564.1845202886351,1344
564.61186175860655,1306
565.03919378665262,1339
565.4665163672455,1345
565.89382949485594,1335
566.32113316395669,1387
566.74842736902031,1392
567.17571210452047,1379
567.60298736493007,1433
568.030253144724,1393
568.45750943837618,1397
568.88475624036153,1368
569.3119935451557,1408
569.739221347235,1411
570.16643964107493,1414
570.59364842115247,1443
571.02084768194584,1478
571.44803741793146,1449
571.87521762358767,1479
572.30238829339407,1465
572.72954942182821,1448
573.15670100337093,1434
573.58384303250114,1472
574.01097550369991,1504
574.43809841144821,1488
574.86521175022676,1488
575.29231551451755,1510
575.71940969880336,1485
576.146494297566,1505
576.57356930528886,1539
577.000634716456,1511
577.42769052555138,1531
577.85473672705871,1509
578.28177331546385,1533
578.70880028525232,1520
579.1358176309094,1515
579.5628253469215,1552
579.98982342777583,1539
580.41681186795893,1504
580.84379066195959,1536
581.27075980426525,1507
581.6977192893645,1490
582.12466911174715,1521
582.55160926590167,1481
582.97853974631926,1523
583.40546054748984,1531
583.83237166390438,1505
584.25927309005408,1491
584.68616482043137,1499
585.11304684952825,1517
585.53991917183748,1547
585.96678178185243,1475
586.39363467406667,1536
586.82047784297515,1511
587.24731128307178,1511
587.67413498885162,1528
588.1009489548112,1491
588.52775317544535,1520
588.95454764525084,1479
589.3813323587259,1531
589.808107310367,1523
590.23487249467178,1520
590.66162790613885,1501
591.08837353926788,1495
591.51510938855756,1521
591.9418354485075,1521
592.36855171361844,1520
592.79525817839112,1544
593.22195483732651,1522
593.64864168492613,1523
594.07531871569279,1541
594.50198592412869,1533
594.92864330473719,1552
595.3552908520212,1603
595.78192856048577,1606
596.20855642463471,1585
596.63517443897331,1637
597.0617825980064,1616
597.48838089624076,1640
597.91496932818325,1683
598.341547888339,1672
598.76811657121686,1681
599.19467537132459,1681
599.62122428316979,1723
600.04776330126151,1713
600.47429242010958,1739
600.90081163422315,1792
601.32732093811228,1744
601.75382032628829,1771
602.18030979326193,1785
602.60678933354541,1835
603.03325894165039,1777
603.4597186120892,1816
603.88616833937544,1841
604.31260811802258,1843
604.73903794254454,1856
605.16545780745628,1947
605.59186770727229,1897
